customer_id,company,last_name,first_name,email_address,job_title,business_phone,home_phone,mobile_phone,fax_number,address,city,state_province,zip_postal_code,country_region,web_page,notes,attachments,insertion_timestamp
7,Company G,Xie,Ming-Yang,,Owner,(123)555-0100,,,(123)555-0101,123 7th Street,Boise,ID,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
27,Company AA,Toh,Karen,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 27th Street,Las Vegas,NV,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
5,Company E,O’Donnell,Martin,,Owner,(123)555-0100,,,(123)555-0101,123 5th Street,Minneapolis,MN,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
9,Company I,Mortensen,Sven,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 9th Street,Salt Lake City,UT,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
14,Company N,Grilo,Carlos,,Purchasing Representative,(123)555-0100,,,(123)555-0101,456 14th Street,Denver,CO,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
17,Company Q,Bagel,Jean Philippe,,Owner,(123)555-0100,,,(123)555-0101,456 17th Street,Seattle,WA,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
8,Company H,Andersen,Elizabeth,,Purchasing Representative,(123)555-0100,,,(123)555-0101,123 8th Street,Portland,OR,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
13,Company M,Ludick,Andre,,Purchasing Representative,(123)555-0100,,,(123)555-0101,456 13th Street,Memphis,TN,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
19,Company S,Eggerer,Alexander,,Accounting Assistant,(123)555-0100,,,(123)555-0101,789 19th Street,Los Angelas,CA,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
3,Company C,Axen,Thomas,,Purchasing Representative,(123)555-0100,,,(123)555-0101,123 3rd Street,Los Angelas,CA,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
6,Company F,Pérez-Olaeta,Francisco,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 6th Street,Milwaukee,WI,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
21,Company U,Tham,Bernard,,Accounting Manager,(123)555-0100,,,(123)555-0101,789 21th Street,Minneapolis,MN,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
25,Company Y,Rodman,John,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 25th Street,Chicago,IL,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
2,Company B,Gratacos Solsona,Antonio,,Owner,(123)555-0100,,,(123)555-0101,123 2nd Street,Boston,MA,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
28,Company BB,Raghav,Amritansh,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 28th Street,Memphis,TN,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
1,Company A,Bedecs,Anna,,Owner,(123)555-0100,,,(123)555-0101,123 1st Street,Seattle,WA,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
12,Company L,Edwards,John,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 12th Street,Las Vegas,NV,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
20,Company T,Li,George,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 20th Street,New York,NY,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
15,Company O,Kupkova,Helena,,Purchasing Manager,(123)555-0100,,,(123)555-0101,456 15th Street,Honolulu,HI,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
22,Company V,Ramos,Luciana,,Purchasing Assistant,(123)555-0100,,,(123)555-0101,789 22th Street,Milwaukee,WI,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
10,Company J,Wacker,Roland,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 10th Street,Chicago,IL,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
18,Company R,Autier Miconi,Catherine,,Purchasing Representative,(123)555-0100,,,(123)555-0101,456 18th Street,Boston,MA,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
29,Company CC,Lee,Soo Jung,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 29th Street,Denver,CO,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
4,Company D,Lee,Christina,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 4th Street,New York,NY,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
23,Company W,Entin,Michael,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 23th Street,Portland,OR,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
24,Company X,Hasselberg,Jonas,,Owner,(123)555-0100,,,(123)555-0101,789 24th Street,Salt Lake City,UT,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
11,Company K,Krschne,Peter,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 11th Street,Miami,FL,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
16,Company P,Goldschmidt,Daniel,,Purchasing Representative,(123)555-0100,,,(123)555-0101,456 16th Street,San Francisco,CA,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
26,Company Z,Liu,Run,,Accounting Assistant,(123)555-0100,,,(123)555-0101,789 26th Street,Miami,FL,99999,USA,,,,2025-08-05 11:24:03.083000-04:00
