customer_id,customer_company,customer_last_name,customer_first_name,customer_email_address,customer_job_title,customer_business_phone,customer_home_phone,customer_mobile_phone,customer_fax_number,customer_address,customer_city,customer_state_province,customer_zip_postal_code,customer_country_region,customer_web_page,customer_notes,customer_attachments,employee_id,employee_company,employee_last_name,employee_first_name,employee_email_address,employee_job_title,employee_business_phone,employee_home_phone,employee_mobile_phone,employee_fax_number,employee_address,employee_city,employee_state_province,employee_zip_postal_code,employee_country_region,employee_web_page,employee_notes,employee_attachments,product_id,product_code,product_name,description,supplier_company,standard_cost,list_price,reorder_level,target_level,quantity_per_unit,discontinued,minimum_reorder_quantity,category,attachments,order_id,shipper_id,quantity,unit_price,discount,status_id,date_allocated,purchase_order_id,inventory_id,order_date,shipped_date,paid_date,insertion_timestamp
4,Company D,Lee,Christina,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 4th Street,New York,NY,99999,USA,,,,3,Northwind Traders,Kotas,Jan,jan@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 3rd Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Was hired as a sales associate and was promoted to sales representative.,,7,NWTDFN-7,Northwind Traders Dried Pears,,Supplier B,22.5,30.0,10,40,12 - 1 lb pkgs.,0,10,Dried Fruit & Nuts,,31,1,10,30.0,0,2,,,64,2006-01-20,1/22/2006 0:00:00,1/20/2006 0:00:00,2025-08-12 10:44:19.357-04
6,Company F,Pérez-Olaeta,Francisco,,Purchasing Manager,(123)555-0100,,,(123)555-0101,123 6th Street,Milwaukee,WI,99999,USA,,,,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",,7,NWTDFN-7,Northwind Traders Dried Pears,,Supplier B,22.5,30.0,10,40,12 - 1 lb pkgs.,0,10,Dried Fruit & Nuts,,79,3,30,30.0,0,2,,,119,2006-06-23,6/23/2006 0:00:00,6/23/2006 0:00:00,2025-08-12 10:44:19.357-04
28,Company BB,Raghav,Amritansh,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 28th Street,Memphis,TN,99999,USA,,,,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,,41,NWTSO-41,Northwind Traders Clam Chowder,,Supplier F,7.2375,9.65,10,40,12 - 12 oz cans,0,10,Soups,,45,3,50,9.65,0,2,,104,116,2006-04-07,4/7/2006 0:00:00,4/7/2006 0:00:00,2025-08-12 10:44:19.357-04
8,Company H,Andersen,Elizabeth,,Purchasing Representative,(123)555-0100,,,(123)555-0101,123 8th Street,Portland,OR,99999,USA,,,,6,Northwind Traders,Neipper,Michael,michael@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 6th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.",,19,NWTBGM-19,Northwind Traders Chocolate Biscuits Mix,,Supplier A,6.9,9.2,5,20,10 boxes x 12 pieces,0,5,Baked Goods & Mixes,,33,3,30,9.2,0,2,,97,81,2006-01-30,1/31/2006 0:00:00,1/30/2006 0:00:00,2025-08-12 10:44:19.357-04
29,Company CC,Lee,Soo Jung,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 29th Street,Denver,CO,99999,USA,,,,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,,34,NWTB-34,Northwind Traders Beer,,Supplier D,10.5,14.0,15,60,24 - 12 oz bottles,0,15,Beverages,,55,2,87,14.0,0,2,,,117,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-12 10:44:19.357-04
3,Company C,Axen,Thomas,,Purchasing Representative,(123)555-0100,,,(123)555-0101,123 3rd Street,Los Angelas,CA,99999,USA,,,,2,Northwind Traders,Cencini,Andrew,andrew@northwindtraders.com,"Vice President, Sales",(123)555-0100,(123)555-0102,,(123)555-0103,123 2nd Avenue,Bellevue,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Joined the company as a sales representative, was promoted to sales manager and was then named vice president of sales.",,81,NWTB-81,Northwind Traders Green Tea,,Supplier C,2.0,2.99,100,125,20 bags per box,0,25,Beverages,,81,,0,2.99,0,5,,,,2006-04-25,,,2025-08-12 10:44:19.357-04
3,Company C,Axen,Thomas,,Purchasing Representative,(123)555-0100,,,(123)555-0101,123 3rd Street,Los Angelas,CA,99999,USA,,,,4,Northwind Traders,Sergienko,Mariya,mariya@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 4th Avenue,Kirkland,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,,,41,NWTSO-41,Northwind Traders Clam Chowder,,Supplier F,7.2375,9.65,10,40,12 - 12 oz cans,0,10,Soups,,36,2,200,9.65,0,2,,98,79,2006-02-23,2/25/2006 0:00:00,2/23/2006 0:00:00,2025-08-12 10:44:19.357-04
8,Company H,Andersen,Elizabeth,,Purchasing Representative,(123)555-0100,,,(123)555-0101,123 8th Street,Portland,OR,99999,USA,,,,6,Northwind Traders,Neipper,Michael,michael@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 6th Avenue,Redmond,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,"Fluent in Japanese and can read and write French, Portuguese, and Spanish.",,72,NWTD-72,Northwind Traders Mozzarella,,Supplier E,26.1,34.8,10,40,24 - 200 g pkgs.,0,10,Dairy `dl_northwind`.`products`,,60,3,40,34.8,0,2,,,131,2006-04-30,4/30/2006 0:00:00,4/30/2006 0:00:00,2025-08-12 10:44:19.357-04
25,Company Y,Rodman,John,,Purchasing Manager,(123)555-0100,,,(123)555-0101,789 25th Street,Chicago,IL,99999,USA,,,,9,Northwind Traders,Hellung-Larsen,Anne,anne@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 9th Avenue,Seattle,WA,99999,USA,http://northwindtraders.com#http://northwindtraders.com/#,Fluent in French and German.,,21,NWTBGM-21,Northwind Traders Scones,,Supplier A,7.5,10.0,5,20,24 pkgs. x 4 pieces,0,5,Baked Goods & Mixes,,50,1,20,10.0,0,2,,,92,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-12 10:44:19.357-04
1,Company A,Bedecs,Anna,,Owner,(123)555-0100,,,(123)555-0101,123 1st Street,Seattle,WA,99999,USA,,,,1,Northwind Traders,Freehafer,Nancy,nancy@northwindtraders.com,Sales Representative,(123)555-0100,(123)555-0102,,(123)555-0103,123 1st Avenue,Seattle,WA,99999,USA,#http://northwindtraders.com#,,,81,NWTB-81,Northwind Traders Green Tea,,Supplier C,2.0,2.99,100,125,20 bags per box,0,25,Beverages,,44,,25,2.99,0,1,,,90,2006-03-24,,,2025-08-12 10:44:19.357-04
